profileNum,ageEstimate,companyName,connectionsCount,country,endDate,followable,followersCount,genderEstimate,hasPicture,isPremium,posLocation,posTitle,startDate,posDuration
38.0,42.0,RZ Group,500.0,au,2005-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,"Edinburgh, United Kingdom",Senior Account Manager,2003-01-01,34.99045154931313
41.0,48.0,Grant Thornton Australia,500.0,au,2017-04-01,1.0,4247.0,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1.0,"Sydney, Australia",Partner | Growth Advisory,2012-06-01,57.988870408016595
43.0,48.0,PwC,500.0,au,2010-11-01,1.0,4247.0,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1.0,"Sydney, Australia",Management Consultant | People & Change,2005-02-01,68.96240169202653
44.0,48.0,National Australia Bank,500.0,au,2005-02-01,1.0,4247.0,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1.0,"Sydney, Australia",Business Partner | People & Culture,2003-02-01,24.016920265303188
46.0,48.0,Commonwealth Bank,500.0,au,1999-11-01,1.0,4247.0,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1.0,"Sydney, Australia",Manager | People & Change,1998-01-01,21.979917452103738
47.0,48.0,KPMG,500.0,au,1998-12-01,1.0,4247.0,male,8mHRUMUrrdHcYjKM9OL2icnVJWgUv8s7oTTdlpre6gs.jpg,1.0,"Sydney, Australia",Senior Consultant | People & Development,1996-01-01,34.99045154931313
65.0,50.0,Karen David International,500.0,au,2013-12-01,1.0,995.0,male,9793ab37-b1f1-41ae-bae3-f820ef33f535-3.jpg,0.0,Worldwide,Affiliate for The Salon Success Club,2011-01-01,34.99045154931313
68.0,37.0,Dialog Information Technology,371.0,au,2013-02-01,1.0,372.0,male,2dbb8ef9-292e-4c9c-b589-e4a28879274d-3.jpg,0.0,"Brisbane, Australia",FileNet Consultant,2011-07-01,19.088687652723877
73.0,28.0,Console Connect,359.0,au,2016-07-01,1.0,358.0,male,qXzgetXd8lDuESSbCxrjQc766cbKtTHfA9yrZccRer4.jpg,1.0,"Brisbane, Australia",Senior Software Engineer,2016-02-01,4.9610874966631755
74.0,28.0,Console Connect,359.0,au,2016-02-01,1.0,358.0,male,qXzgetXd8lDuESSbCxrjQc766cbKtTHfA9yrZccRer4.jpg,1.0,"Brisbane, Australia",Software Engineer,2015-03-01,11.072095936261524
79.0,28.0,The University of Queensland,359.0,au,2012-07-01,1.0,358.0,male,qXzgetXd8lDuESSbCxrjQc766cbKtTHfA9yrZccRer4.jpg,1.0,Saint Lucia,Tutor,2012-02-01,4.9610874966631755
80.0,28.0,GEON print & communications solutions,359.0,au,2009-12-01,1.0,358.0,male,qXzgetXd8lDuESSbCxrjQc766cbKtTHfA9yrZccRer4.jpg,1.0,"186 Railway Parade, Bassendean WA 6054",Pre-Press Operator,2008-01-01,22.998418858703463
82.0,44.0,Enriched Health Care,255.0,au,2014-09-01,1.0,255.0,male,32943172-34c3-4fde-b786-9850332790e6-3.jpg,0.0,Port Macquarie,Physiotherapist,2013-12-01,9.002238238978213
83.0,44.0,Burgess Hill Physiotherapy,255.0,au,2013-11-01,1.0,255.0,male,32943172-34c3-4fde-b786-9850332790e6-3.jpg,0.0,Burgess Hill,Practice Principal,2010-06-01,41.03575022074375
85.0,43.0,"Department of Education & Training, Victoria",477.0,au,2016-07-01,1.0,486.0,male,CK4qIwz9Gpw8L5Hk8de9rqFBp4nOlgdtO79KRRIbxU4.jpg,0.0,"Ballarat, Victoria",Training & Support Officer,2014-01-01,29.963654284482228
86.0,43.0,"Department of Health, Victoria - now Department of Health & Human Services, Victoria",477.0,au,2013-12-01,1.0,486.0,male,CK4qIwz9Gpw8L5Hk8de9rqFBp4nOlgdtO79KRRIbxU4.jpg,0.0,"Ballarat, Victoria",Information Support Officer,2013-01-01,10.973531284009939
88.0,43.0,Datalink Internet Systems Pty Ltd,477.0,au,2012-12-01,1.0,486.0,male,CK4qIwz9Gpw8L5Hk8de9rqFBp4nOlgdtO79KRRIbxU4.jpg,0.0,"Hawthorn East, Victoria",Market Engagement Manager,2012-01-01,11.006386168093801
89.0,43.0,Datalink Internet Systems Pty Ltd,477.0,au,2012-12-01,1.0,486.0,male,CK4qIwz9Gpw8L5Hk8de9rqFBp4nOlgdtO79KRRIbxU4.jpg,0.0,"Melbourne, Victoria",Sales and Marketing Manager,2006-01-01,82.99143719583564
91.0,43.0,Datalink Internet Systems Pty Ltd,477.0,au,2003-12-01,1.0,486.0,male,CK4qIwz9Gpw8L5Hk8de9rqFBp4nOlgdtO79KRRIbxU4.jpg,0.0,"Murrumbeena, Victoria",Business Consultant,2001-05-01,31.015010575165814
92.0,43.0,Strathfield Group,477.0,au,2000-12-01,1.0,486.0,male,CK4qIwz9Gpw8L5Hk8de9rqFBp4nOlgdtO79KRRIbxU4.jpg,0.0,"Brisbane, Queensland",Sales Executive,1999-01-01,22.998418858703463
118.0,32.0,"Department of Industry, Innovation and Science",211.0,au,2016-01-01,1.0,209.0,male,b0185719-f5e9-4c0d-9972-ea1a859c57f9-3.jpg,0.0,"Australian Capital Territory, Australia",Economic Analyst,2014-03-01,22.045627220271463
119.0,32.0,Australian Renewable Energy Agency (ARENA),211.0,au,2014-03-01,1.0,209.0,male,b0185719-f5e9-4c0d-9972-ea1a859c57f9-3.jpg,0.0,"Canberra, Australia",Business Development,2013-02-01,12.911969444957801
124.0,36.0,Justice Connect,500.0,au,2011-10-01,1.0,2233.0,male,daadbd36-e057-4797-a003-0c3247c872a9-3.jpg,0.0,"Melbourne Area, Australia",Manager/Principal Lawyer,2009-07-01,27.00671471693464
125.0,36.0,Corrs Chambers Westgarth,500.0,au,2009-07-01,1.0,2233.0,male,daadbd36-e057-4797-a003-0c3247c872a9-3.jpg,0.0,"Melbourne, Australia",Lawyer,2007-02-01,28.945152877882503
127.0,36.0,Westerntel,500.0,au,2006-12-01,1.0,2233.0,male,daadbd36-e057-4797-a003-0c3247c872a9-3.jpg,0.0,"Geelong, Australia",Group Accountant,2004-01-01,34.99045154931313
158.0,30.0,Thomson Reuters Recap,462.0,au,2015-06-01,1.0,463.0,female,025a99d7-9ec1-49fd-81b2-c03f430b3a53-3.jpg,0.0,"Port Moresby, Papua New Guinea","Analyst, Deloitte Corporate Finance",2012-05-01,36.99459947842872
160.0,38.0,Pinnacle Project Solutions Pty Ltd,500.0,au,2019-01-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,Sydney NSW,Managing Director,2016-08-01,29.010862646050228
161.0,38.0,University of Sydney,500.0,au,2018-06-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,"Sydney, Australia",ICT Portfolio Manager,2017-02-01,15.934618780673114
163.0,38.0,University of Sydney,500.0,au,2016-09-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,Sydney,r/ICT Program Manager - Education ,2016-07-01,2.0370028131994498
164.0,38.0,NSW Department of Education,500.0,au,2015-10-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,Macquarie Park,ICT Service Relationship Manager,2014-12-01,9.987884761494076
166.0,38.0,NSW Department of Education,500.0,au,2013-02-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,Hunter Central Coast Region,Regional Technology Project / Portfolio Manager,2008-01-01,61.04437462781576
167.0,38.0,NSW Department of Education,500.0,au,2008-12-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,Hunter Central Coast Region,Team Leader - Technology Support,2005-01-01,46.98248423992279
169.0,38.0,TAFE NSW,500.0,au,2004-12-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,Wester Sydney Institute of TAFE,Computer Systems Officer,2002-01-01,34.99045154931313
170.0,38.0,TAFE NSW,500.0,au,2003-12-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,Western Sydney Institute,Teacher Information Technology,2000-01-01,46.98248423992279
172.0,38.0,NSW Department of Education,500.0,au,2018-12-01,0.0,562.0,male,sBRTuWkuG7vBeZdLpTI2uUakC74Syf1Coe8mWC_SZdc.jpg,0.0,"Sydney, Australia",Senior ICT Project Manager,2018-07-01,5.0267972648309
176.0,43.0,TNT Australia,500.0,au,2016-08-01,1.0,555.0,male,it2vO5Xjt7aBwWxjdKTZTB3nxZ3MWvSVdE1eDErIB8M.jpg,1.0,"Sydney, Australia",Solution Architect,2016-01-01,6.998090309862626
178.0,43.0,TNT Australia,500.0,au,2015-06-01,1.0,555.0,male,it2vO5Xjt7aBwWxjdKTZTB3nxZ3MWvSVdE1eDErIB8M.jpg,1.0,"Sydney, Australia",Senior Analyst Programmer,2009-07-01,70.99940450522598
179.0,43.0,TNT Australia,500.0,au,2009-07-01,1.0,555.0,male,it2vO5Xjt7aBwWxjdKTZTB3nxZ3MWvSVdE1eDErIB8M.jpg,1.0,"Sydney, Australia",Analyst Programmer,2007-11-01,19.975769522988152
182.0,45.0,Lendlease,500.0,au,2013-03-01,1.0,1218.0,male,106c4a51-316a-4d16-9d35-499978087915-3.jpg,0.0,"MacLeay River & Floodplains Bridge, Kempsey, NSW",Safety Manager,2012-01-01,13.963325735641389
184.0,45.0,Veolia,500.0,au,2008-03-01,1.0,1218.0,male,106c4a51-316a-4d16-9d35-499978087915-3.jpg,0.0,"Brisbane, Australia",Sub Contractor,2005-01-01,37.947391116860715
187.0,41.0,The Centre for Social Impact,500.0,au,2018-06-01,1.0,721.0,female,0ba7b084-0f06-4d29-a6e5-1a1bec448cfe-3.jpg,0.0,"Melbourne, Australia",Research Fellow,2017-05-01,13.010534097209389
191.0,41.0,Centre for Sustainability Leadership,500.0,au,2010-12-01,1.0,721.0,female,0ba7b084-0f06-4d29-a6e5-1a1bec448cfe-3.jpg,0.0,"Melbourne, Australia",Interim Operations Manager,2010-01-01,10.973531284009939
193.0,41.0,Morgan Stanley,500.0,au,2006-12-01,1.0,721.0,female,0ba7b084-0f06-4d29-a6e5-1a1bec448cfe-3.jpg,0.0,"Reno, Nevada Area",Financial Advisor,2005-01-01,22.965563974619602
208.0,45.0,Speedwell,500.0,au,2015-11-01,1.0,1707.0,male,b55qdOKyWgrPDy9avgBtfBESOO6OF4SW7jWepZBNi2I.jpg,1.0,"Brisbane, Australia",Digital Strategy Director,2006-06-01,113.0208012484856
209.0,45.0,LEWIS Global Communications,500.0,au,2004-12-01,1.0,1707.0,male,b55qdOKyWgrPDy9avgBtfBESOO6OF4SW7jWepZBNi2I.jpg,1.0,"London, United Kingdom",Head of Information and Systems,2002-01-01,34.99045154931313
215.0,47.0,CH2M,500.0,au,2015-04-01,1.0,729.0,male,p_4_000_175_1d6_19c2ed7.jpg,0.0,"Brisbane, Australia",Principal Tunnel Engineer,2011-11-01,40.97004045257603
217.0,47.0,The University of Manchester,500.0,au,2000-08-01,1.0,729.0,male,p_4_000_175_1d6_19c2ed7.jpg,0.0,"Manchester, United Kingdom",Research associate,1999-02-01,17.971621593872563
223.0,25.0,Valecha Engineering Limited,236.0,au,2013-01-01,1.0,236.0,male,1a3a2631-86ad-4e48-98b2-849f953903b2-3.jpg,0.0,"Bhuj, Gujarat",Graduate Engineering Trainee,2012-07-01,6.045298671430625
226.0,56.0,Specsavers,500.0,au,2014-02-01,1.0,3043.0,male,32fb3df5-1993-4393-af67-7e29f128045b-3.jpg,0.0,"Port Melbourne, Victoria, Australia",Head of Professional Recruitment Australia/New Zealand,2012-04-01,22.045627220271463
230.0,62.0,Tabor College,500.0,au,1994-11-01,1.0,1224.0,female,0d1cfbaa-dfb5-4026-aea4-bc6a7e2b3898-3.jpg,0.0,"Ringwood, Victoria",Lecturer,1993-02-01,20.961416045504013
232.0,33.0,University of Adelaide,352.0,au,2017-10-01,1.0,352.0,female,1e326eb4-3c1c-41be-8a81-bf147f40e023-3.jpg,0.0,School of Medical Sciences,Adjunct Lecturer,2015-01-01,32.98630362019754
236.0,33.0,University of Adelaide,352.0,au,2015-07-01,1.0,352.0,female,1e326eb4-3c1c-41be-8a81-bf147f40e023-3.jpg,0.0,University of Adelaide (Medical School),Case Based Learning Medical Tutor,2009-07-01,71.98505102774185
238.0,33.0,The University of Western Australia,352.0,au,2013-07-01,1.0,352.0,female,1e326eb4-3c1c-41be-8a81-bf147f40e023-3.jpg,0.0,"School of Medicine and Pharmacology, Fremantle Hospital",Honorary Postdoctoral Research Fellow,2013-01-01,5.946734019179039
239.0,33.0,University of Adelaide,352.0,au,2011-12-01,1.0,352.0,female,1e326eb4-3c1c-41be-8a81-bf147f40e023-3.jpg,0.0,"Adelaide Area, Australia",Demonstrator and Marker,2009-01-01,34.95759666522927
242.0,34.0,Hills Limited,500.0,au,2014-09-01,1.0,801.0,male,AAEAAQAAAAAAAAoWAAAAJDU0YWIwMDE1LTQ1MWYtNDQ0Yi04NzJhLTRmMzFkZDVlMTg3MA.jpg,0.0,Australia,Project Manager,2014-04-01,5.0267972648309
244.0,34.0,Questek Australia,500.0,au,2007-01-01,1.0,801.0,male,AAEAAQAAAAAAAAoWAAAAJDU0YWIwMDE1LTQ1MWYtNDQ0Yi04NzJhLTRmMzFkZDVlMTg3MA.jpg,0.0,Australia Wide,Service Technician,2002-01-01,59.99301833713218
247.0,43.0,Telstra,500.0,au,2013-12-01,1.0,1073.0,male,0aVLP0gM9fhoWz-EAvpAYwuCBGptJ9lVAIz_rRvgctg.jpg,0.0,"Melbourne, Australia",Technical Solution Specialist - Presales,2009-12-01,48.000985646522516
248.0,43.0,VicTrack,500.0,au,2009-12-01,1.0,1073.0,male,0aVLP0gM9fhoWz-EAvpAYwuCBGptJ9lVAIz_rRvgctg.jpg,0.0,"Melbourne, Australia",Senior Account Manager,2009-08-01,4.008295858231175
250.0,43.0,Telstra,500.0,au,2005-02-01,1.0,1073.0,male,0aVLP0gM9fhoWz-EAvpAYwuCBGptJ9lVAIz_rRvgctg.jpg,0.0,"Melbourne, Australia",Customer Infrastructure Specialist - Engineering,2003-06-01,20.074334175239738
251.0,43.0,Telstra,500.0,au,2003-06-01,1.0,1073.0,male,0aVLP0gM9fhoWz-EAvpAYwuCBGptJ9lVAIz_rRvgctg.jpg,0.0,"Melbourne, Australia",Product Infrastructure Specialist - Engineering,2001-03-01,27.00671471693464
254.0,34.0,Murdoch University,105.0,au,2017-02-01,1.0,105.0,female,acb30083-a25e-4cc3-9425-6aac8e62632f-3.jpg,0.0,"Murdoch, Western Australia",Safety in Research and Teaching Coordinator,2015-11-01,15.047536910408837
256.0,34.0,Omni Assist Pty Ltd,105.0,au,2015-01-01,1.0,105.0,female,acb30083-a25e-4cc3-9425-6aac8e62632f-3.jpg,0.0,North Fremantle,HSEQ Consultant,2011-11-01,38.01310088502844
295.0,43.0,Monash University,130.0,au,2016-01-01,1.0,131.0,female,02ec906e-2aba-4c27-8749-c42e49a55949-3.jpg,0.0,"Melbourne, Australia",Web Content Coordinator,2011-09-01,52.009281504753694
298.0,36.0,World Vision Australia,372.0,au,2016-03-01,1.0,373.0,male,c72bc5ac-56ca-4255-b2a4-8140c2951080-3.jpg,0.0,East Burwood,National Relationship Manager - Bequests,2013-03-01,36.008952955912854
299.0,36.0,World Vision Australia,372.0,au,2015-03-01,1.0,373.0,male,c72bc5ac-56ca-4255-b2a4-8140c2951080-3.jpg,0.0,"Mozambique, Kosovo, Banda Ache (Indonesia), Port au Prince (Haiti) and Vanuatu",Emergency Response Logistics Officer,2000-01-01,181.95034805642825
301.0,36.0,World Vision Australia,372.0,au,2012-12-01,1.0,373.0,male,c72bc5ac-56ca-4255-b2a4-8140c2951080-3.jpg,0.0,East Burwood,Production Co Ordinator,1998-01-01,178.99340848888068
304.0,46.0,Supply Chain Squared,500.0,au,2016-04-01,1.0,1185.0,female,AAEAAQAAAAAAAAneAAAAJDZhZDI4ZDZiLWJiMDMtNDY0Mi05NTFlLTc5OGJmMWRjYjQ1ZQ.jpg,1.0,"Sydney, Australia",Associate,2014-01-01,26.973859832850778
305.0,46.0,Optus,500.0,au,2013-08-01,1.0,1185.0,female,AAEAAQAAAAAAAAneAAAAJDZhZDI4ZDZiLWJiMDMtNDY0Mi05NTFlLTc5OGJmMWRjYjQ1ZQ.jpg,1.0,Sydney,"Director, Procurement",2010-05-01,39.03160229162817
325.0,39.0,Oakton,500.0,au,2015-10-01,1.0,688.0,male,Hzc7Bkxj98NuPmRA3s1v9ckbScHWaNywDFhCuZd8uro.jpg,0.0,"Sydney, Australia",Business Analyst/Scrum Master,2010-08-01,61.99716626624777
326.0,39.0,Oakton,500.0,au,2009-07-01,1.0,688.0,male,Hzc7Bkxj98NuPmRA3s1v9ckbScHWaNywDFhCuZd8uro.jpg,0.0,"Sydney, Australia",Software Engineer,2005-03-01,52.009281504753694
328.0,39.0,University of Sydney,500.0,au,2004-11-01,1.0,688.0,male,Hzc7Bkxj98NuPmRA3s1v9ckbScHWaNywDFhCuZd8uro.jpg,0.0,"Sydney, Australia",Tutor/Lab Supervisor/Helpdesk,2004-02-01,9.002238238978213
331.0,53.0,Seqwater,306.0,au,2013-07-01,1.0,327.0,male,XCSPWaivQSs-8zjKvVjr33RglrEHxKPii5NwnMi1Gmk.jpg,0.0,"Brisbane, Australia","RS&T Stakeholder, IP & Knowledge Coordinator",2011-07-01,24.016920265303188
337.0,32.0,QUT (Queensland University of Technology),222.0,au,2013-12-01,1.0,222.0,female,12e29978-7dbb-473c-8bc5-ed2b9e83cc89-3.jpg,0.0,Gardens Point,Masters by Research Student,2012-07-01,17.018829955440562
338.0,32.0,SU QLD,222.0,au,2012-07-01,1.0,222.0,female,12e29978-7dbb-473c-8bc5-ed2b9e83cc89-3.jpg,0.0,"Brisbane, Australia",Marketing & Events Manager,2011-07-01,12.024887574693526
352.0,46.0,Computershare Utility Services,500.0,au,2012-03-01,1.0,745.0,male,34e7233f-f857-4fc4-a90f-a9bb591fab84-3.jpg,1.0,"Melbourne, Australia",Project Manager (Contract role),2011-10-01,4.993942380747038
353.0,46.0,Computershare Utility Services,500.0,au,2011-09-01,1.0,745.0,male,34e7233f-f857-4fc4-a90f-a9bb591fab84-3.jpg,1.0,"Melbourne, Australia",Project Manager (Contract role),2011-05-01,4.041150742315037
355.0,46.0,Programmed,500.0,au,2010-05-01,1.0,745.0,male,34e7233f-f857-4fc4-a90f-a9bb591fab84-3.jpg,1.0,"Melbourne, Australia","Head of Change Management, Shared Services",2009-03-01,13.996180619725251
356.0,46.0,Programmed,500.0,au,2009-03-01,1.0,745.0,male,34e7233f-f857-4fc4-a90f-a9bb591fab84-3.jpg,1.0,Box Hill/Burwood,Group Pay/Bill Services Manager,2006-08-01,30.982155691081953
358.0,36.0,Newcastle Permanent Building Society,379.0,au,2018-02-01,1.0,377.0,male,p_2_000_1a0_0fd_2bf1cbd.jpg,0.0,"Newcastle, Australia",Data Warehouse Specialist,2017-02-01,11.992032690609664
359.0,36.0,i2c Inc.,379.0,au,2016-10-01,1.0,377.0,male,p_2_000_1a0_0fd_2bf1cbd.jpg,0.0,Lahore,Associate Architect,2007-03-01,115.05780406168505
370.0,37.0,Sinclair Knight Merz,409.0,au,2014-12-01,1.0,418.0,male,6c5d8d79-2dd2-465d-8fec-95bb81fd9a96-3.jpg,0.0,"Adelaide, Australia",Water Engineer,2006-01-01,106.97550257705497
382.0,48.0,WorleyParsons,500.0,au,2016-03-01,1.0,1255.0,male,26da6284-4ce6-4110-80d8-4a11b4dc2aa3-3.jpg,0.0,"Perth, Australia",Principal Electrical Engineer,2015-10-01,4.993942380747038
383.0,48.0,Chevron,500.0,au,2015-10-01,1.0,1255.0,male,26da6284-4ce6-4110-80d8-4a11b4dc2aa3-3.jpg,0.0,"Onslow, Western Australia",Client Representative - Electrical & Instrumentation Engineering - Wheatstone LNG,2014-06-01,16.000328548840837
385.0,48.0,WorleyParsons,500.0,au,2014-05-01,1.0,1255.0,male,26da6284-4ce6-4110-80d8-4a11b4dc2aa3-3.jpg,0.0,"Perth, Australia",Lead Electrical Engineer,2013-03-01,13.996180619725251
386.0,48.0,WorleyParsons,500.0,au,2013-08-01,1.0,1255.0,male,26da6284-4ce6-4110-80d8-4a11b4dc2aa3-3.jpg,0.0,"Perth, Australia",Lead Electrical Engineer,2013-01-01,6.965235425778763
388.0,48.0,Transfield Worley,500.0,au,2008-08-01,1.0,1255.0,male,26da6284-4ce6-4110-80d8-4a11b4dc2aa3-3.jpg,0.0,"Perth Area, Australia",Lead Electrical Engineer,2007-12-01,8.01659171646235
397.0,40.0,Swan Services Pty Ltd,472.0,au,2013-07-01,1.0,476.0,male,aa52439a-d4d7-487a-83d3-3c4f56e75f73-3.jpg,0.0,"Melbourne, Australia",Facilities Assistant,2010-01-01,41.95568697509189
398.0,40.0,Amazing Colombia S.A.,472.0,au,2008-06-01,1.0,476.0,male,aa52439a-d4d7-487a-83d3-3c4f56e75f73-3.jpg,0.0,"Bogota, Colombia",Functional Consultant,2006-06-01,24.016920265303188
406.0,36.0,Victoria University,500.0,au,2016-12-01,1.0,689.0,female,e5bcac67-d027-4772-a2a4-8ef0f297fc01-3.jpg,0.0,"Melbourne, Australia",Casual lecturer,2013-01-01,46.98248423992279
410.0,48.0,Pharmaceutical Society of Australia,500.0,au,2014-03-01,1.0,1983.0,female,vSbl8_qj4UAEi1JoGmng_SiGFIahVdTAqSMoX6YEkWY.jpg,0.0,"Brisbane, Australia",President - Queensland Branch,2007-06-01,80.98728926672005
413.0,35.0,eHealth NSW,500.0,au,2016-06-01,1.0,3466.0,male,-W9rVa-XUwzFI1chgWF2-U6qedAIRBXNy8owXdnDiV0.jpg,0.0,"Sydney, Australia",Implementation Assurance Testing Manager,2016-02-01,3.975440974147313
415.0,35.0,George Weston Foods,500.0,au,2015-04-01,1.0,3466.0,male,-W9rVa-XUwzFI1chgWF2-U6qedAIRBXNy8owXdnDiV0.jpg,0.0,"Sydney, Australia",Senior BA & Change Consultant - Kronos,2015-01-01,2.9569395675475882
416.0,35.0,GrainCorp,500.0,au,2014-12-01,1.0,3466.0,male,-W9rVa-XUwzFI1chgWF2-U6qedAIRBXNy8owXdnDiV0.jpg,0.0,"Sydney, Australia",Time and Attendance Automation Change/Training Consultant,2014-09-01,2.9897944516314503
418.0,35.0,Sydney Trains,500.0,au,2014-04-01,1.0,3466.0,male,-W9rVa-XUwzFI1chgWF2-U6qedAIRBXNy8owXdnDiV0.jpg,0.0,Sydney,Enterprise Agreement Technical Business Analyst,2013-07-01,9.002238238978213
419.0,35.0,Kronos Incorporated,500.0,au,2013-07-01,1.0,3466.0,male,-W9rVa-XUwzFI1chgWF2-U6qedAIRBXNy8owXdnDiV0.jpg,0.0,"Sydney, Australia",Workforce Management Application Consultant II,2011-08-01,22.998418858703463
421.0,35.0,Mercer,500.0,au,2011-03-01,1.0,3466.0,male,-W9rVa-XUwzFI1chgWF2-U6qedAIRBXNy8owXdnDiV0.jpg,0.0,"Sydney, Australia",MSSD Team Leader (Workforce Intelligence Software) - Associate,2008-07-01,31.967802213597814
451.0,53.0,PwC,500.0,au,2010-12-01,1.0,692.0,female,01615e15-7c43-42b8-9e15-7e912fdc630e-3.jpg,0.0,"Sydney, Australia",Partner / Director,1999-12-01,132.01092424895788
