advertisement.publication_date,advertisement.complete,advertiser.name,enslaved_person.gender,enslaved_person_languages.does_speak,enslaver.fullname,enslaver.gender,enslaver.type,newspaper.name,runaway.ran_before,runaway.profess_freedom,runaway_enslavers.enslaver_status,runaway_reward.amount,newspaper_location.city,newspaper_location.state,enslaver_location.city,enslaver_location.state,advertisement.id,advertiser.id,newspaper.id,newspaper_location.id,runaway_event.id,runaway.id,enslaved_person.id,enslaved_person_languages.id,runaway_enslavers.id,enslaver.id,enslaver_location.id,runaway_reward.id
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,83eca40c-6fde-4012-a7e5-99c5605fa4c1,7785f176-69cd-4e08-8454-70a1962f459e,"",94f78834-50a8-47ed-a25a-8fe4a019139d,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,b703c250-b275-4e44-8c01-930bc3f02ed8
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",90,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,83eca40c-6fde-4012-a7e5-99c5605fa4c1,7785f176-69cd-4e08-8454-70a1962f459e,"",94f78834-50a8-47ed-a25a-8fe4a019139d,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,f3605826-633a-465f-85cc-47790c1b65d3
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,19e45eb3-1612-408e-8c78-87e87322964e,7aea6e1f-f98a-4ba7-8ff0-5e9154857f17,"",e00f0a00-7ba7-4d2e-bddf-5f12bb0d7056,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,f4115bfe-caf8-4bee-badf-23ed6308bae1
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",90,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,19e45eb3-1612-408e-8c78-87e87322964e,7aea6e1f-f98a-4ba7-8ff0-5e9154857f17,"",e00f0a00-7ba7-4d2e-bddf-5f12bb0d7056,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,6cfa5686-59bf-4cf4-8b96-78d3e9bb54a9
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,e46f5931-82ff-41ba-a3a3-38ff61268ee8,fdb8c948-2499-45b4-940b-08bc0b66cd37,"",5e554d14-50a0-4cdf-b81b-de019a18955b,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,43ae03bd-8080-4305-acbb-6b83d001dd07
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",90,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,e46f5931-82ff-41ba-a3a3-38ff61268ee8,fdb8c948-2499-45b4-940b-08bc0b66cd37,"",5e554d14-50a0-4cdf-b81b-de019a18955b,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,3a264b95-d24d-432f-ac7e-33429cca8a96
1803-01-20,true,"",FEMALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,b91163d9-c893-4da4-8971-2260746130a3,d295d8dc-6e79-4285-b6b4-d17e8edfa46b,"",00d2402b-d3b3-4c2a-a62e-f92f5b143882,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,bdf2df28-f566-4de2-9ad5-6eba1b9a6cee
1803-01-20,true,"",FEMALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",90,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,b91163d9-c893-4da4-8971-2260746130a3,d295d8dc-6e79-4285-b6b4-d17e8edfa46b,"",00d2402b-d3b3-4c2a-a62e-f92f5b143882,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,2d27340c-03ae-4d71-b2b5-a76074ed38c2
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",90,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,eac45a28-18ef-4245-a855-55c115c35824,b2674abd-bce7-4779-b5aa-57528eb5f60d,"",1d183859-9f4d-4e7f-81d5-83c095554636,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,fe27742b-c65a-450f-a97e-eda440ee5363
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,eac45a28-18ef-4245-a855-55c115c35824,b2674abd-bce7-4779-b5aa-57528eb5f60d,"",1d183859-9f4d-4e7f-81d5-83c095554636,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,73ed855a-0b37-42a5-ab32-4a1951e827b3
1803-01-20,true,"",MALE,true,"John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,e96206be-3340-4104-b653-052797ae01ed,4d91fb18-3036-45ad-80ac-905b45504134,5b9f2107-abea-4894-a60d-cac4a2f66a9e,30b3c654-ce6c-4321-abb5-3f0b7e05dbc3,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,fcc8dcce-1405-4193-ad15-1c1a2b5c3b97
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,37c8ceca-97db-409d-9e3b-2ac5421d8d98,bd26e734-7072-4572-9850-e5523edac62a,"",f8213055-4e40-4d83-9cba-b40f339e1ab3,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,426c15ef-dfce-4bbb-afc9-8c13df13c7fa
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,f9dc7cd4-046a-400b-8ddd-8cfbaa741153,3324fe71-86af-4678-9024-227f61b9fa66,"",8d814f68-6822-4395-bf4c-cb814e2dc088,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,ed138ec1-2b8b-4aaf-b6a8-185eb05184c7
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",90,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,f9dc7cd4-046a-400b-8ddd-8cfbaa741153,3324fe71-86af-4678-9024-227f61b9fa66,"",8d814f68-6822-4395-bf4c-cb814e2dc088,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,372f6f18-7f5d-4d9f-a5f2-5effe8acbd22
1803-01-20,true,"",FEMALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,23ee3395-fca3-43fd-a97e-5284995c9b66,5a31c67b-f995-4671-9261-3070cba5fb98,"",00cc32d9-075b-4477-84d8-ccef38b1e42b,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,3a08bcc7-2968-47ce-aad7-e3f29101628e
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",90,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,5db5a488-be43-4df7-8828-96098e843478,2e47717e-d8b4-4f81-ac6c-64f46405debe,"",e522c8bb-d7a3-4891-a35a-8111219fae98,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,3359461b-306e-46a2-b84e-5124a94bf96e
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,5db5a488-be43-4df7-8828-96098e843478,2e47717e-d8b4-4f81-ac6c-64f46405debe,"",e522c8bb-d7a3-4891-a35a-8111219fae98,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,833374c9-7094-4169-a8d5-8c78e3ce68b4
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",90,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,4602bc18-22cf-4b82-b2e9-0a2d11b82131,e4847343-6adb-45af-be72-391915ea5cf5,"",6134c70e-a6b3-4e48-8f99-36a91db9a15a,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,959fa7c5-d19e-48ea-b822-7fbd3d3d4c11
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,4602bc18-22cf-4b82-b2e9-0a2d11b82131,e4847343-6adb-45af-be72-391915ea5cf5,"",6134c70e-a6b3-4e48-8f99-36a91db9a15a,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,9d7e7d78-189f-440a-be86-daafa031b86f
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,19e45eb3-1612-408e-8c78-87e87322964e,7aea6e1f-f98a-4ba7-8ff0-5e9154857f17,"",3fc6633d-048b-4e7c-b402-7525c635d685,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,f4115bfe-caf8-4bee-badf-23ed6308bae1
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",90,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,19e45eb3-1612-408e-8c78-87e87322964e,7aea6e1f-f98a-4ba7-8ff0-5e9154857f17,"",3fc6633d-048b-4e7c-b402-7525c635d685,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,6cfa5686-59bf-4cf4-8b96-78d3e9bb54a9
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,83eca40c-6fde-4012-a7e5-99c5605fa4c1,7785f176-69cd-4e08-8454-70a1962f459e,"",97064895-7462-4849-976f-d5a47b68d7ef,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,b703c250-b275-4e44-8c01-930bc3f02ed8
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",90,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,83eca40c-6fde-4012-a7e5-99c5605fa4c1,7785f176-69cd-4e08-8454-70a1962f459e,"",97064895-7462-4849-976f-d5a47b68d7ef,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,f3605826-633a-465f-85cc-47790c1b65d3
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,e46f5931-82ff-41ba-a3a3-38ff61268ee8,fdb8c948-2499-45b4-940b-08bc0b66cd37,"",c569308e-058f-4c57-b6cc-fde2d0c6d78f,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,43ae03bd-8080-4305-acbb-6b83d001dd07
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",90,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,e46f5931-82ff-41ba-a3a3-38ff61268ee8,fdb8c948-2499-45b4-940b-08bc0b66cd37,"",c569308e-058f-4c57-b6cc-fde2d0c6d78f,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,3a264b95-d24d-432f-ac7e-33429cca8a96
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",90,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,eac45a28-18ef-4245-a855-55c115c35824,b2674abd-bce7-4779-b5aa-57528eb5f60d,"",6d746531-4477-4834-a019-01654f193400,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,fe27742b-c65a-450f-a97e-eda440ee5363
1803-01-20,true,"",MALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,eac45a28-18ef-4245-a855-55c115c35824,b2674abd-bce7-4779-b5aa-57528eb5f60d,"",6d746531-4477-4834-a019-01654f193400,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,73ed855a-0b37-42a5-ab32-4a1951e827b3
1803-01-20,true,"",FEMALE,"","John Burgwin, Esq.",MALE,deceased,Wilmington Gazette,"","","",10,Wilmington,US-NC,"",US-AL,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,b91163d9-c893-4da4-8971-2260746130a3,d295d8dc-6e79-4285-b6b4-d17e8edfa46b,"",d3cc2d37-f63d-4906-9f0e-85d615247037,1ab19cf1-b6e3-41e5-9652-20c674e2aa75,14358b40-d659-42a9-aa83-6fe2f9a98db1,bdf2df28-f566-4de2-9ad5-6eba1b9a6cee
